split,entry_dt,exit_dt,entry_spot,exit_spot,strike,dte_entry,entry_iv_pct,entry_rv_pct,entry_ivr,ml_prob,entry_straddle,exit_straddle,straddle_pnl,hedge_pnl,costs,realized_pnl,exit_reason,duration_mins,hedge_count,hedge_revert,hedge_sl,er_entry,cumulative_pnl
TRAIN,2024-10-03 09:40:00,2024-10-03 09:46:00,25629.45,25617.6,25650,7,34.738672,43.61132935139202,11.300986591018596,0.8621997061253327,184.0,157.0,-1755.0,0.0,120,-1875.0,max_drawdown,6.0,0,0,0,0.2692892115482006,-5254.249999999994
TRAIN,2024-10-04 09:33:00,2024-10-04 11:01:00,25159.45,25328.2,25150,6,15.337823,18.874794144111124,4.914097484191425,0.7460515045006624,404.6,372.9,-2060.5000000000027,-327.75000000000136,120,-2508.250000000004,theta_bleed,88.0,4,4,0,0.2657557166759638,-7762.499999999998
TRAIN,2024-10-07 11:23:00,2024-10-07 13:14:00,24947.35,24793.85,24950,3,19.6380905,19.4090056435981,6.336644590180514,0.7983454450638569,364.55,394.54999999999995,1949.9999999999964,3008.500000000002,120,4838.499999999998,vega_win,111.0,5,4,0,0.016905784519784743,-2924.0
TRAIN,2024-10-11 09:45:00,2024-10-11 11:13:00,25003.4,24955.3,25000,6,11.859852,12.2216007533848,3.917034069211519,0.6453890786654363,311.25,309.04999999999995,-143.00000000000296,330.0,120,66.99999999999704,theta_bleed,88.0,1,1,0,0.01197183098590796,-2857.0000000000027
TRAIN,2024-10-18 09:46:00,2024-10-18 11:14:00,24659.55,24719.35,24650,6,12.931611499999999,19.410155188990156,2.944288048914675,0.6581295064059763,334.85,319.29999999999995,-1010.7500000000044,82.99999999999926,120,-1047.7500000000052,theta_bleed,88.0,1,0,0,0.20565783565335122,-3904.750000000008
TRAIN,2024-10-21 09:30:00,2024-10-21 09:49:00,24889.3,24714.5,24900,3,13.6556945,17.577110196829953,3.109148315813529,0.7626125535056351,256.0,280.70000000000005,1605.500000000003,2259.000000000002,120,3744.5000000000045,vega_win,19.0,2,0,0,0.11250000000000393,-160.25000000000364
TRAIN,2024-10-21 10:07:00,2024-10-21 11:36:00,24838.0,24760.95,24850,3,13.839561,23.125916114555757,3.1510113070227663,0.6434247926175869,257.85,255.89999999999998,-126.75000000000296,148.2500000000017,120,-98.50000000000125,theta_bleed,89.0,3,2,0,0.10640365367797194,-258.7500000000049
TRAIN,2024-10-22 09:30:00,2024-10-22 10:28:00,24808.1,24649.4,24800,2,14.2601795,15.249266988454838,3.246778336731509,0.760204355172692,222.3,244.15,1420.2499999999995,3120.500000000002,120,4420.750000000002,vega_win,58.0,4,1,0,0.07892949327536525,4161.999999999997
TRAIN,2024-10-22 10:32:00,2024-10-22 12:00:00,24642.85,24685.05,24650,2,16.1627495,15.676821101923489,3.679958231845401,0.8127958484196002,247.15,230.75,-1066.0000000000005,975.2499999999995,120,-210.7500000000009,theta_bleed,88.0,2,2,0,0.5011984659635536,3951.2499999999964
TRAIN,2024-10-25 09:31:00,2024-10-25 09:50:00,24384.3,24291.05,24400,6,12.162016999999999,11.773409913589013,2.7690656577331536,0.643414274045064,310.15,342.5,2102.7500000000014,238.99999999999966,120,2221.750000000001,vega_win,19.0,1,1,0,0.05128205128205726,6172.999999999997
TRAIN,2024-10-25 10:18:00,2024-10-25 10:55:00,24248.4,24121.85,24250,6,12.638905000000001,15.295956410932352,2.877644208756808,0.956693240080948,320.45,354.65,2222.999999999999,4446.25,120,6549.249999999999,vega_win,37.0,2,0,0,0.22243599230426436,12722.249999999996
TRAIN,2024-10-28 09:53:00,2024-10-28 11:21:00,24237.85,24390.45,24250,3,14.854213,17.55591311048499,3.382028744981475,0.6205126126407373,270.45000000000005,246.15,-1579.5000000000025,1305.2499999999995,120,-394.25000000000296,theta_bleed,88.0,3,2,0,0.0312574564543119,12327.999999999993
TRAIN,2024-10-29 10:14:00,2024-10-29 11:42:00,24225.15,24228.1,24250,2,16.0469785,16.03748833008413,3.653599322771238,0.620885162800594,242.05,234.64999999999998,-481.0000000000022,-1767.7500000000005,120,-2368.7500000000027,theta_bleed,88.0,2,1,0,0.010681093078093088,9959.249999999989
TRAIN,2024-10-31 09:59:00,2024-10-31 10:11:00,24295.05,24273.65,24300,7,14.572971,14.73145620448518,3.317995158799826,0.8095766898015243,70.95,81.6,692.2499999999994,0.0,120,572.2499999999994,vega_win,12.0,0,0,0,0.017466446037874797,10531.499999999989
TRAIN,2024-10-31 10:12:00,2024-10-31 10:14:00,24280.55,24274.05,24300,7,14.8709705,14.87378392589323,3.3858441168691695,0.8111336773570823,72.35,81.0,562.2500000000003,0.0,120,442.25000000000034,vega_win,2.0,0,0,0,0.09276018099547065,10973.749999999989
TRAIN,2024-11-08 09:55:00,2024-11-08 11:21:00,24166.45,24158.55,24150,6,14.074989500000001,14.209864491903602,3.2046140091240405,0.679790847259342,357.2,307.79999999999995,-3211.0000000000023,0.0,120,-3331.0000000000023,max_drawdown,86.0,0,0,0,0.7345890410959345,7642.749999999987
TRAIN,2024-11-11 09:33:00,2024-11-11 11:01:00,24142.0,24265.3,24150,3,15.352843,20.015504907770058,3.4955575460771717,0.6556700161546832,279.1,253.5,-1664.0000000000014,-402.75000000000057,120,-2186.750000000002,theta_bleed,88.0,2,1,0,0.04272549567159782,5455.999999999985
TRAIN,2024-11-12 09:30:00,2024-11-12 10:58:00,24176.75,24145.0,24200,2,14.86016,22.67581964417633,3.383382766560835,0.6360944526236137,225.2,218.6,-428.99999999999966,-3875.2499999999995,120,-4424.249999999999,theta_bleed,88.0,3,3,0,0.09171674941206902,1031.7499999999864
TRAIN,2024-11-14 10:17:00,2024-11-14 10:35:00,23610.05,23596.65,23600,7,21.206375,20.512234893639725,4.8282981957278075,0.814572308610181,97.9,83.85,-913.2500000000007,0.0,120,-1033.2500000000007,max_drawdown,18.0,0,0,0,0.059942663539223805,-1.5000000000143245
