entry_dt,exit_dt,entry_spot,exit_spot,strike,dte_entry,entry_iv_pct,entry_rv_pct,entry_ivr,entry_straddle,exit_straddle,straddle_pnl,hedge_pnl,costs,realized_pnl,exit_reason,duration_mins,hedge_count,hedge_revert,hedge_sl,er_entry,cumulative_pnl
2025-01-06 09:39:00,2025-01-06 11:07:00,24020.9,23819.35,24000,3,18.223203,17.946672902405886,4.506902663031761,330.9,329.70000000000005,-77.99999999999557,2844.5000000000023,120,2646.500000000007,theta_bleed,88.0,6,3,0,0.012819058423145884,-335.99999999999136
2025-01-13 09:30:00,2025-01-13 10:58:00,23231.3,23312.65,23250,3,18.542022,40.34697520131345,4.587579900177622,324.29999999999995,312.35,-776.7499999999956,-664.5000000000007,120,-1561.2499999999964,theta_bleed,88.0,1,1,0,0.30956717841964615,-1897.2499999999877
2025-01-27 09:30:00,2025-01-27 10:58:00,22955.15,22856.7,22950,3,19.938367,28.047904080359498,12.260473295195212,345.0,342.9,-136.50000000000148,900.4999999999993,120,643.9999999999978,theta_bleed,88.0,2,1,0,0.3193591133598406,-1253.24999999999
2025-02-03 09:30:00,2025-02-03 10:58:00,23331.5,23309.1,23350,3,15.4563585,39.793229864943186,7.0569764166895865,271.5,251.60000000000002,-1293.4999999999986,-1174.7500000000005,120,-2588.249999999999,theta_bleed,88.0,1,1,0,0.36559622726253654,-3841.499999999989
2025-02-10 09:30:00,2025-02-10 11:44:00,23455.1,23388.6,23450,3,16.411870999999998,18.92054835322539,2.2879294113535193,290.4,289.54999999999995,-55.25000000000148,-443.50000000000034,120,-618.7500000000018,theta_bleed,134.0,1,0,0,0.23215796897038904,-4460.249999999991
2025-02-17 09:30:00,2025-02-17 10:58:00,22825.45,22874.8,22850,3,19.8721495,31.19302839992591,2.7817711854637515,341.55,341.54999999999995,-3.694822225952521e-12,-1034.7500000000014,120,-1154.750000000005,theta_bleed,88.0,3,2,0,0.19312494097648344,-5614.999999999996
2025-02-24 09:30:00,2025-02-24 10:58:00,22631.5,22553.5,22650,3,15.059889999999998,20.956924725955993,2.13038513771792,256.6,246.65,-646.7500000000011,-287.5,120,-1054.2500000000011,theta_bleed,88.0,1,1,0,0.4912850812407818,-6669.249999999997
2025-03-03 09:30:00,2025-03-03 10:58:00,22167.7,22039.65,22150,3,16.078378,21.569312531628455,2.289067193444809,269.8,263.45,-412.7500000000015,-266.25,120,-799.0000000000015,theta_bleed,88.0,2,1,0,0.10144927536232223,-7468.249999999999
2025-03-10 09:30:00,2025-03-10 10:58:00,22587.05,22641.0,22600,3,15.237769,17.424946829263813,2.1580989697813746,259.15,240.5,-1212.2499999999986,437.25000000000034,120,-894.9999999999983,theta_bleed,88.0,1,1,0,0.07018673535093249,-8363.249999999998
2025-03-17 09:30:00,2025-03-17 10:59:00,22545.2,22496.9,22550,3,13.7539035,18.30217837972756,8.223120926814582,233.7,233.65,-3.2499999999988916,1.7500000000001847,120,-121.4999999999987,theta_bleed,89.0,1,0,0,0.6760095011876334,-8484.749999999996
2025-03-24 09:30:00,2025-03-24 10:42:00,23472.55,23580.75,23450,3,14.644879,24.683667875464373,8.75581328424817,260.9,285.5,1599.0000000000014,595.0,120,2074.0000000000014,vega_win,72.0,2,0,0,0.35068788777987175,-6410.7499999999945
2025-04-07 09:30:00,2025-04-07 10:40:00,22087.95,21969.4,22100,3,40.391324999999995,43.42761684557103,15.89795150334503,558.85,610.2,3337.7500000000014,7225.749999999999,120,10443.5,vega_win,70.0,8,5,1,0.6139441083261332,4032.7500000000055
2025-04-21 09:30:00,2025-04-21 10:43:00,23934.15,24065.1,23950,3,18.971515,28.129484304243984,7.46715353890923,341.85,293.85,-3120.0,-2193.5,120,-5433.5,max_drawdown,73.0,2,1,0,0.17511225144323977,-1400.7499999999945
2025-04-28 09:30:00,2025-04-28 10:58:00,24132.65,24274.35,24150,3,16.9952275,25.141474934734227,6.689290400434149,256.95,239.60000000000002,-1127.7499999999977,-2141.5,120,-3389.2499999999977,theta_bleed,88.0,2,1,0,0.1384086760442393,-4789.999999999993
2025-05-05 09:30:00,2025-05-05 10:58:00,24445.25,24464.6,24450,3,15.1246395,25.175819801495418,4.367225036732793,278.6,247.10000000000002,-2047.5,541.2499999999991,120,-1626.250000000001,theta_bleed,88.0,1,1,0,0.307713423003013,-6416.249999999994
2025-05-12 09:30:00,2025-05-12 09:53:00,24586.95,24654.65,24600,3,15.383227999999999,78.73000393159086,3.123251290651349,284.79999999999995,318.5,2190.5000000000027,-92.5,120,1978.0000000000027,vega_win,23.0,1,0,0,0.794358135731798,-4438.249999999991
2025-05-12 09:54:00,2025-05-12 10:22:00,24673.95,24708.05,24650,3,17.632330500000002,78.6393685131034,3.6083908510582954,328.45000000000005,360.7,2096.2499999999964,-60.0,120,1916.2499999999964,vega_win,28.0,1,1,0,0.43585471509496276,-2521.9999999999945
2025-05-26 09:30:00,2025-05-26 10:36:00,25044.8,24916.15,25050,3,21.646414,25.407379941205733,3.879197858121057,408.25,449.8,2700.750000000001,632.2500000000003,120,3213.0000000000014,vega_win,66.0,1,0,0,0.5426777048244501,691.0000000000068
2025-06-02 09:30:00,2025-06-02 10:39:00,24569.55,24626.7,24550,3,21.087172000000002,22.989121557511798,3.7578159049154207,391.15,430.2,2538.250000000001,0.0,120,2418.250000000001,vega_win,69.0,0,0,0,0.5055746730901624,3109.2500000000077
2025-06-09 09:30:00,2025-06-09 10:58:00,25083.65,25135.55,25100,3,16.783075,20.691706421351743,6.0377587409098625,316.95,290.95,-1690.0,-66.49999999999963,120,-1876.4999999999995,theta_bleed,88.0,1,0,0,0.25633106856084925,1232.7500000000082
2025-06-23 09:30:00,2025-06-23 11:02:00,24910.8,24912.45,24900,3,15.341501000000001,21.192875015072516,5.717095002789425,288.75,287.75,-65.0,367.5,120,182.5,theta_bleed,92.0,2,1,0,0.5218181818181856,1415.2500000000082
2025-07-21 09:56:00,2025-07-21 11:24:00,25035.25,25056.2,25050,3,11.816284,11.62585559780203,21.52763690899417,222.15,208.35000000000002,-896.9999999999989,0.0,120,-1016.9999999999989,theta_bleed,88.0,0,0,0,0.213225569434226,398.2500000000093
2025-07-28 09:30:00,2025-07-28 10:58:00,24802.9,24823.45,24800,3,12.093560499999999,15.586653760798267,22.74487575119035,226.6,226.35,-16.25,923.2499999999998,120,786.9999999999998,theta_bleed,88.0,2,1,0,0.12531061412850258,1185.250000000009
2025-08-04 09:49:00,2025-08-04 11:17:00,24604.4,24666.65,24600,3,14.09,14.18701478573287,26.09998332986866,275.35,269.79999999999995,-360.75000000000443,-128.25000000000074,120,-609.0000000000052,theta_bleed,88.0,1,0,0,0.1594449164542646,576.2500000000039
2025-08-18 09:30:00,2025-08-18 10:58:00,24979.0,24958.5,25000,3,13.190000000000001,49.453489630356195,28.47230488063729,261.4,251.1,-669.4999999999989,0.0,120,-789.4999999999989,theta_bleed,88.0,0,0,0,0.7444311637509645,-213.249999999995
2025-08-25 09:30:00,2025-08-25 10:58:00,24947.5,24949.35,24950,3,9.26,11.980169742899971,19.583434607020898,184.05,172.75,-734.5000000000007,0.0,120,-854.5000000000007,theta_bleed,88.0,0,0,0,0.39012016021365215,-1067.7499999999957
2025-09-01 09:30:00,2025-09-01 10:58:00,24531.7,24539.8,24550,3,10.225000000000001,15.842558037570676,22.5613224751057,132.85,120.25,-818.9999999999997,0.0,120,-938.9999999999997,theta_bleed,88.0,0,0,0,0.32408395588759814,-2006.7499999999955
2026-02-02 10:12:00,2026-02-02 11:40:00,24833.1,24822.65,24850,3,21.8258385,21.245718541391504,28.38002984304297,272.6,244.25,-1842.7500000000014,-3135.75,120,-5098.500000000002,theta_bleed,88.0,4,3,0,0.11063246524378367,-7105.249999999997
2026-02-09 09:30:00,2026-02-09 10:58:00,25831.05,25860.3,25850,3,12.798937500000001,25.908735098036452,16.27176840612617,168.05,160.60000000000002,-484.24999999999926,0.0,120,-604.2499999999993,theta_bleed,88.0,0,0,0,0.384106911912608,-7709.499999999996
2026-02-16 09:57:00,2026-02-16 11:27:00,25492.9,25527.7,25500,3,12.741165500000001,12.57433756906036,16.221033323333025,163.89999999999998,163.1,-51.99999999999889,537.9999999999993,120,366.00000000000045,theta_bleed,90.0,1,1,0,0.06563094483195915,-7343.499999999996
